Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1972917,"Apr 14, 2015","Apr 14, 2015",4377867,884329134,4377867,202,486,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972917,SRX994194,G5723.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908519,SAMN03254208,simple,186538,Zaire ebolavirus,G5723.1,,,,,,,no,,,,,BI,SRA178666,,public,4C15DC4E43EA2DD6DA211DCDB3E400F0,94BEB800D624CB20C04DD09D0C56BC86
SRR1972918,"Apr 14, 2015","Apr 14, 2015",3856384,778989568,3856384,202,457,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972918,SRX994195,G5731.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908518,SAMN03254209,simple,186538,Zaire ebolavirus,G5731.1,,,,,,,no,,,,,BI,SRA178666,,public,63AE692146061962D2BA889EAF5A86CA,F910CC0D2C1F588AD0EB8C1DDE93AD14
SRR1972919,"Apr 14, 2015","Apr 14, 2015",4816440,972920880,4816440,202,541,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972919,SRX994196,G5732.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908517,SAMN03254210,simple,186538,Zaire ebolavirus,G5732.1,,,,,,,no,,,,,BI,SRA178666,,public,875BAA494A202E07D4C2AFF0CDCED0CF,D24F6CF7F25124501E78CF4231D92208
SRR1972920,"Apr 14, 2015","Apr 14, 2015",320773,64796146,320773,202,38,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972920,SRX994197,G5735.2.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908516,SAMN03254213,simple,186538,Zaire ebolavirus,G5735.2,,,,,,,no,,,,,BI,SRA178666,,public,86887B8C582B79D65B76677EF1F6BF1D,1EB2BECBDC28757D477F2D95F1894340
SRR1972921,"Apr 14, 2015","Apr 14, 2015",5720830,1155607660,5720830,202,677,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972921,SRX994198,G5737.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908515,SAMN03254215,simple,186538,Zaire ebolavirus,G5737.1,,,,,,,no,,,,,BI,SRA178666,,public,CBDFC46B848BCEF3AB35E3E2B9947A72,73EE063FB47E6C9BB4170C04224038B5
SRR1972922,"Apr 14, 2015","Apr 14, 2015",5244734,1059436268,5244734,202,605,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972922,SRX994199,G5738.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908514,SAMN03254216,simple,186538,Zaire ebolavirus,G5738.1,,,,,,,no,,,,,BI,SRA178666,,public,0C6E439D591C471DD7FB201C1DE6BCA5,45DF9E6EF5A12744FF01FC06FD8AE1A5
SRR1972923,"Apr 14, 2015","Apr 14, 2015",2093369,422860538,2093369,202,240,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972923,SRX994200,G5739.2.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908513,SAMN03254217,simple,186538,Zaire ebolavirus,G5739.2,,,,,,,no,,,,,BI,SRA178666,,public,C53834CDDDFBEF10F6008D7EA68D4499,E9C20E0C1CF290C9F20E1DB27FAAFC61
SRR1972924,"Apr 14, 2015","Apr 14, 2015",3509670,708953340,3509670,202,395,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972924,SRX994201,G5740.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908512,SAMN03254218,simple,186538,Zaire ebolavirus,G5740.1,,,,,,,no,,,,,BI,SRA178666,,public,E0F1EF3E1F145A06CDCA78B56E40B0E8,D1F00CAC313C5D67855242DA57AB0BB4
SRR1972925,"Apr 14, 2015","Apr 14, 2015",5374781,1085705762,5374781,202,651,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972925,SRX994202,G5743.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908511,SAMN03254219,simple,186538,Zaire ebolavirus,G5743.1,,,,,,,no,,,,,BI,SRA178666,,public,2838324C007DCBDEBCD57511C164D394,7583A31702D818295ED2AEEF1C616E10
SRR1972926,"Apr 14, 2015","Apr 14, 2015",5131420,1036546840,5131420,202,534,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972926,SRX994203,G5748.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908510,SAMN03254220,simple,186538,Zaire ebolavirus,G5748.1,,,,,,,no,,,,,BI,SRA178666,,public,DC5B87DA4341129BE82C77723800CF5D,04A2A420CFC30D90BADDA176968257AA
SRR1972927,"Apr 14, 2015","Apr 14, 2015",6097111,1231616422,6097111,202,727,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972927,SRX994204,G5749.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908509,SAMN03254222,simple,186538,Zaire ebolavirus,G5749.1,,,,,,,no,,,,,BI,SRA178666,,public,44C276787D828ADA89835893A97C8FB5,DDD329DACE1E7C716A85342C24A33820
SRR1972928,"Apr 14, 2015","Apr 14, 2015",26185365,5289443730,26185365,202,3212,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972928,SRX994205,G5756.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908508,SAMN03254225,simple,186538,Zaire ebolavirus,G5756.1,,,,,,,no,,,,,BI,SRA178666,,public,56125DCE623967A853CA00833E97299C,B7537BA24D4D59BC266BDEB1D69D1A53
SRR1972929,"Apr 14, 2015","Apr 14, 2015",4478755,904708510,4478755,202,514,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972929,SRX994206,G5759.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908507,SAMN03254226,simple,186538,Zaire ebolavirus,G5759.1,,,,,,,no,,,,,BI,SRA178666,,public,1834D6DB0A2DA8196BE4145A6F483312,83F95599982AF8E00CA296CC12136E39
SRR1972930,"Apr 14, 2015","Apr 14, 2015",1812806,366186812,1812806,202,191,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972930,SRX994207,G5760.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908506,SAMN03254227,simple,186538,Zaire ebolavirus,G5760.1,,,,,,,no,,,,,BI,SRA178666,,public,F973A9A6C56D1A0975C968DE60C5D451,83A848FC0898D12F624C11E482EE833F
SRR1972931,"Apr 14, 2015","Apr 14, 2015",3899925,787784850,3899925,202,429,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972931,SRX994208,G5762.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908505,SAMN03254228,simple,186538,Zaire ebolavirus,G5762.1,,,,,,,no,,,,,BI,SRA178666,,public,7BDC32B07D06DA0A47651B6FCEE7FA4C,82BCEE9360E56ACEF88F98C26719E0E4
SRR1972932,"Apr 14, 2015","Apr 14, 2015",5677862,1146928124,5677862,202,655,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972932,SRX994209,G5763.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908504,SAMN03254229,simple,186538,Zaire ebolavirus,G5763.1,,,,,,,no,,,,,BI,SRA178666,,public,34B824403D4369D5FCB0B639D759C8B7,287AB9C253DBCC634A80AC3099E4DEA6
